"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"182","Mixed swamp conifer",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
"183","Mixed swamp conifer",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
"184","Mixed swamp conifer","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"185","Mixed swamp conifer","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"186","Mixed swamp conifer","msc pole","Mixed swamp conifer","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"187","Mixed swamp conifer","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"188","Mixed swamp conifer","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"189","Mixed swamp conifer","msc saw","Mixed swamp conifer","saw","saw","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","msc"
"191","Cedar/Aspen/PB",,"Cedar/Aspen/PB","regeneration",,,,,"not used",,,,,
"521","Oak",,"Oak","regeneration",,,,,"upl decid regen",,,,,
"522","Oak",,"Oak","regeneration",,,,,"upl decid regen",,,,,
"523","Oak",,"Oak","regeneration",,,,,"upl decid regen",,,,,
"524","Oak",,"Oak","pole",,,,,"upl decid",,,,,
"525","Oak",,"Oak","pole",,,,,"upl decid",,,,,
"526","Oak",,"Oak","pole",,,,,"upl decid",,,,,
"527","Oak",,"Oak","saw",,,,,"upl decid",,,,,
"528","Oak",,"Oak","saw",,,,,"upl decid",,,,,
"529","Oak",,"Oak","saw",,,,,"upl decid",,,,,
"541","Burr oak",,"Burr oak","regeneration",,,,,"upl decid regen",,,,,
"542","Burr oak",,"Burr oak","regeneration",,,,,"upl decid regen",,,,,
"543","Burr oak",,"Burr oak","regeneration",,,,,"upl decid regen",,,,,
"544","Burr oak",,"Burr oak","pole",,,,,"upl decid",,,,,
"545","Burr oak",,"Burr oak","pole",,,,,"upl decid",,,,,
"546","Burr oak",,"Burr oak","pole",,,,,"upl decid",,,,,
"547","Burr oak",,"Burr oak","saw",,,,,"upl decid",,,,,
"548","Burr oak",,"Burr oak","saw",,,,,"upl decid",,,,,
"549","Burr oak",,"Burr oak","saw",,,,,"upl decid",,,,,
"551","Northern red oak",,"N. red oak mixed","regeneration",,,,,"upl decid regen",,,,,
"552","Northern red oak",,"N. red oak mixed","regeneration",,,,,"upl decid regen",,,,,
"553","Northern red oak",,"N. red oak mixed","regeneration",,,,,"upl decid regen",,,,,
"554","Northern red oak","oak pole","N. red oak mixed","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"555","Northern red oak","oak pole","N. red oak mixed","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"556","Northern red oak","oak pole","N. red oak mixed","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"557","Northern red oak","oak saw","N. red oak mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"558","Northern red oak","oak saw","N. red oak mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"559","Northern red oak","oak saw","N. red oak mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","oak","oak"
"621","Sedge",,"Sedge",,,,,,"not used",,,,,
"622","Sedge",,"Sedge",,,,,,"not used",,,,,
"623","Sedge",,"Sedge",,,,,,"not used",,,,,
"626","Sedge",,"Sedge",,,,,,"not used",,,,,
"661","Alder","not used","Alder","regeneration","regen","regen","low","Not used","not used","not conif","decid","decid","not used","not used"
"662","Alder","not used","Alder","regeneration","regen","regen","low","Not used","not used","not conif","decid","decid","not used","not used"
"663","Alder","not used","Alder","regeneration","regen","regen","low","Not used","not used","not conif","decid","decid","not used","not used"
"664","Alder","not used","Alder","pole","pole","non-regen","low","Not used","not used","not conif","decid","decid","not used","not used"
"666","Alder","not used","Alder","pole","pole","non-regen","low","Not used","not used","not conif","decid","decid","not used","not used"
"681","Bog",,"Bog",,,,,,"not used",,,,,
"711","Ash/Elm/Red maple",,"Ash/Elm/Red maple","regeneration",,,,,"not used",,,,,
"712","Ash/Elm/Red maple",,"Ash/Elm/Red maple","regeneration",,,,,"not used",,,,,
"713","Ash/Elm/Red maple",,"Ash/Elm/Red maple","regeneration",,,,,"not used",,,,,
"714","Ash/Elm/Red maple","aem pole","Ash/Elm/Red maple","pole","pole","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
"715","Ash/Elm/Red maple","aem pole","Ash/Elm/Red maple","pole","pole","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
